company_id,month,tickets_raised,avg_resolution_hours,tickets_breached_sla
CUST_0001,2024-10-01,2,15.9,1
CUST_0001,2024-11-01,5,23.5,0
CUST_0001,2024-12-01,9,17.0,1
CUST_0001,2025-01-01,4,17.7,0
CUST_0002,2023-04-01,9,48.7,3
CUST_0002,2023-05-01,8,44.9,3
CUST_0002,2023-06-01,5,62.9,4
CUST_0002,2023-07-01,4,54.3,3
CUST_0003,2024-01-01,4,24.7,0
CUST_0003,2024-02-01,7,23.0,1
CUST_0003,2024-03-01,5,10.9,1
CUST_0003,2024-04-01,6,16.7,0
CUST_0003,2024-05-01,6,26.8,1
CUST_0003,2024-06-01,5,35.3,2
CUST_0003,2024-07-01,3,24.3,1
CUST_0003,2024-08-01,2,18.1,0
CUST_0003,2024-09-01,4,24.2,1
CUST_0003,2024-10-01,7,13.9,0
CUST_0003,2024-11-01,2,18.5,0
CUST_0003,2024-12-01,3,22.4,1
CUST_0003,2025-01-01,1,34.3,0
CUST_0004,2023-10-01,5,20.4,0
CUST_0004,2023-11-01,6,30.8,1
CUST_0004,2023-12-01,7,29.1,1
CUST_0004,2024-01-01,5,34.8,1
CUST_0004,2024-02-01,11,26.5,1
CUST_0004,2024-03-01,9,23.9,1
CUST_0004,2024-04-01,7,32.9,1
CUST_0005,2023-03-01,3,15.2,1
CUST_0005,2023-04-01,2,15.9,0
CUST_0005,2023-05-01,0,33.9,0
CUST_0005,2023-06-01,3,32.4,1
CUST_0005,2023-07-01,9,27.2,1
CUST_0005,2023-08-01,4,20.7,0
CUST_0005,2023-09-01,2,21.6,0
CUST_0005,2023-10-01,6,26.0,1
CUST_0005,2023-11-01,5,25.2,0
CUST_0005,2023-12-01,3,20.6,1
CUST_0005,2024-01-01,6,25.7,0
CUST_0005,2024-02-01,4,20.2,1
CUST_0005,2024-03-01,5,21.4,1
CUST_0005,2024-04-01,3,20.6,0
CUST_0005,2024-05-01,1,11.6,0
CUST_0005,2024-06-01,3,20.3,0
CUST_0005,2024-07-01,2,27.6,0
CUST_0005,2024-08-01,0,18.8,0
CUST_0005,2024-09-01,2,24.1,0
CUST_0005,2024-10-01,5,7.6,0
CUST_0005,2024-11-01,2,14.7,0
CUST_0005,2024-12-01,3,29.5,1
CUST_0005,2025-01-01,4,20.3,1
CUST_0006,2023-09-01,4,17.5,0
CUST_0006,2023-10-01,4,15.9,1
CUST_0006,2023-11-01,4,12.5,0
CUST_0006,2023-12-01,4,22.0,0
CUST_0006,2024-01-01,2,11.0,1
CUST_0007,2024-01-01,8,56.4,4
CUST_0007,2024-02-01,14,59.0,8
CUST_0007,2024-03-01,10,41.7,3
CUST_0007,2024-04-01,6,55.2,3
CUST_0007,2024-05-01,9,40.8,3
CUST_0007,2024-06-01,8,50.1,3
CUST_0007,2024-07-01,8,43.8,3
CUST_0007,2024-08-01,10,62.2,6
CUST_0007,2024-09-01,10,38.2,3
CUST_0008,2023-09-01,3,19.4,0
CUST_0008,2023-10-01,1,29.4,0
CUST_0008,2023-11-01,3,17.7,1
CUST_0008,2023-12-01,4,27.6,1
CUST_0008,2024-01-01,2,21.7,1
CUST_0008,2024-02-01,7,16.4,1
CUST_0008,2024-03-01,3,20.2,0
CUST_0008,2024-04-01,2,22.0,1
CUST_0008,2024-05-01,8,29.8,1
CUST_0008,2024-06-01,7,20.6,1
CUST_0008,2024-07-01,3,20.9,0
CUST_0008,2024-08-01,5,20.9,1
CUST_0008,2024-09-01,10,17.8,1
CUST_0008,2024-10-01,3,29.2,1
CUST_0008,2024-11-01,4,22.3,0
CUST_0008,2024-12-01,3,19.5,0
CUST_0008,2025-01-01,9,4.3,0
CUST_0009,2024-02-01,4,19.2,1
CUST_0009,2024-03-01,8,35.2,1
CUST_0009,2024-04-01,4,15.0,1
CUST_0009,2024-05-01,4,21.1,0
CUST_0009,2024-06-01,5,26.1,0
CUST_0009,2024-07-01,5,19.3,0
CUST_0009,2024-08-01,9,17.4,1
CUST_0009,2024-09-01,4,16.7,1
CUST_0009,2024-10-01,8,18.9,0
CUST_0009,2024-11-01,4,9.8,1
CUST_0009,2024-12-01,7,22.7,0
CUST_0009,2025-01-01,3,8.3,0
CUST_0010,2024-06-01,7,16.2,0
CUST_0010,2024-07-01,4,16.1,0
CUST_0010,2024-08-01,2,13.2,0
CUST_0010,2024-09-01,5,17.5,0
CUST_0010,2024-10-01,4,14.9,0
CUST_0010,2024-11-01,6,15.2,0
CUST_0010,2024-12-01,3,21.6,1
CUST_0010,2025-01-01,6,18.9,0
CUST_0011,2024-01-01,1,23.7,0
CUST_0011,2024-02-01,3,21.3,1
CUST_0011,2024-03-01,2,9.9,0
CUST_0011,2024-04-01,4,8.4,1
CUST_0011,2024-05-01,4,16.8,1
CUST_0011,2024-06-01,7,22.0,0
CUST_0011,2024-07-01,7,13.4,0
CUST_0011,2024-08-01,2,13.9,1
CUST_0011,2024-09-01,3,19.8,1
CUST_0011,2024-10-01,6,17.6,1
CUST_0011,2024-11-01,3,25.5,0
CUST_0011,2024-12-01,1,15.3,1
CUST_0011,2025-01-01,7,15.1,1
CUST_0012,2023-04-01,2,18.0,1
CUST_0012,2023-05-01,4,20.1,1
CUST_0012,2023-06-01,6,14.7,0
CUST_0012,2023-07-01,5,17.1,0
CUST_0012,2023-08-01,5,23.4,0
CUST_0012,2023-09-01,6,27.3,1
CUST_0012,2023-10-01,6,18.3,0
CUST_0012,2023-11-01,6,11.2,1
