company_id,month,active_users,logins,features_used,key_action_count
CUST_0001,2024-10-01,27,429,9,56
CUST_0001,2024-11-01,26,501,7,252
CUST_0001,2024-12-01,27,281,9,208
CUST_0001,2025-01-01,27,550,8,123
CUST_0002,2023-04-01,13,106,4,82
CUST_0002,2023-05-01,16,365,3,159
CUST_0002,2023-06-01,15,312,6,134
CUST_0002,2023-07-01,12,215,3,75
CUST_0003,2024-01-01,26,565,11,173
CUST_0003,2024-02-01,24,504,9,182
CUST_0003,2024-03-01,24,330,9,145
CUST_0003,2024-04-01,24,523,10,228
CUST_0003,2024-05-01,23,206,10,147
CUST_0003,2024-06-01,24,368,10,162
CUST_0003,2024-07-01,25,252,10,225
CUST_0003,2024-08-01,24,522,12,230
CUST_0003,2024-09-01,22,196,10,149
CUST_0003,2024-10-01,25,551,11,176
CUST_0003,2024-11-01,24,284,11,175
CUST_0003,2024-12-01,25,405,7,126
CUST_0003,2025-01-01,25,220,10,69
CUST_0004,2023-10-01,8,112,8,79
CUST_0004,2023-11-01,8,109,8,27
CUST_0004,2023-12-01,8,73,8,33
CUST_0004,2024-01-01,8,121,7,53
CUST_0004,2024-02-01,7,71,8,22
CUST_0004,2024-03-01,7,58,7,33
CUST_0004,2024-04-01,6,122,5,13
CUST_0005,2023-03-01,398,8257,12,3703
CUST_0005,2023-04-01,371,6849,12,984
CUST_0005,2023-05-01,435,9386,12,4115
CUST_0005,2023-06-01,384,8815,11,919
CUST_0005,2023-07-01,389,5827,12,1430
CUST_0005,2023-08-01,363,5541,10,2599
CUST_0005,2023-09-01,374,3388,9,2202
CUST_0005,2023-10-01,417,4375,12,3136
CUST_0005,2023-11-01,405,7800,11,3245
CUST_0005,2023-12-01,404,9063,12,2047
CUST_0005,2024-01-01,417,8364,12,1185
CUST_0005,2024-02-01,433,5455,12,1727
CUST_0005,2024-03-01,380,6402,9,2099
CUST_0005,2024-04-01,441,4995,12,3775
CUST_0005,2024-05-01,411,9720,11,1956
CUST_0005,2024-06-01,422,4579,12,1250
CUST_0005,2024-07-01,442,4367,12,1009
CUST_0005,2024-08-01,414,9374,12,3696
CUST_0005,2024-09-01,418,10394,10,3703
CUST_0005,2024-10-01,395,3617,10,1381
CUST_0005,2024-11-01,410,5357,11,1870
CUST_0005,2024-12-01,424,7317,11,1112
CUST_0005,2025-01-01,400,5164,10,2006
CUST_0006,2023-09-01,68,590,8,285
CUST_0006,2023-10-01,71,1752,10,358
CUST_0006,2023-11-01,72,959,10,510
CUST_0006,2023-12-01,77,1527,12,377
CUST_0006,2024-01-01,70,1285,10,274
CUST_0007,2024-01-01,5,86,4,45
CUST_0007,2024-02-01,4,47,2,31
CUST_0007,2024-03-01,4,35,5,20
CUST_0007,2024-04-01,4,64,4,36
CUST_0007,2024-05-01,4,72,3,31
CUST_0007,2024-06-01,4,37,3,32
CUST_0007,2024-07-01,3,72,4,23
CUST_0007,2024-08-01,3,54,3,10
CUST_0007,2024-09-01,1,23,2,9
CUST_0008,2023-09-01,82,1512,11,319
CUST_0008,2023-10-01,89,805,11,588
